품목코드,ITEM CODE,Color/Category,품목명[규격],재고수량,단종여부,도매주문단위,주문제표시,품번,한글명,소요량,재고상태,재고상황,재고상태,카테고리,순서,,상품명,색상번호,색상명,재고,,
02205101,1160.0005,lilac/rose/grey/green,Fiesta/0005,0,25 SS,5,,1160,피에스타,8,0.00 ,품절,❌,2,1,,피에스타,1160.0005,lilac/rose/grey/green,❌,,1160.0005
02205102,1160.0006,yellow/copper/grey/aqua,Fiesta/0006,0,25 SS,5,,1160,피에스타,8,0.00 ,품절,❌,2,1,,피에스타,1160.0006,yellow/copper/grey/aqua,❌,,1160.0006
02066104,1160.0007,red/lilac/grey/light green,Fiesta/0007,6,26 SS,5,,1160,피에스타,8,0.75 ,낱볼,🔴,2,1,,피에스타,1160.0007(신상),red/lilac/grey/light green,🔴,(신상),1160.0007
02066105,1160.0008,green/rose/yellow/grey,Fiesta/0008,3,26 SS,5,,1160,피에스타,8,0.38 ,낱볼,🔴,2,1,,피에스타,1160.0008(신상),green/rose/yellow/grey,🔴,(신상),1160.0008
02066106,1160.0009,blue/rose/dark grey/purple,Fiesta/0009,0,26 SS,5,,1160,피에스타,8,0.00 ,품절,❌,2,1,,피에스타,1160.0009(신상),blue/rose/dark grey/purple,❌,(신상),1160.0009
02066107,1160.0010,dark green/orange/yellow/rose,Fiesta/0010,3,26 SS,5,,1160,피에스타,8,0.38 ,낱볼,🔴,2,1,,피에스타,1160.0010(신상),dark green/orange/yellow/rose,🔴,(신상),1160.0010
02104088,1140.0001,grey/rose,Artsy/0001,11,24 SS,1,,1140,아트시,4,2.75 ,여유,🔵,2,2,,아트시,1140.0001,grey/rose,🔵,,1140.0001
02104089,1140.0002,green/rose,Artsy/0002,6,24 SS,1,,1140,아트시,4,1.50 ,양호,🟢,2,2,,아트시,1140.0002,green/rose,🟢,,1140.0002
02104090,1140.0003,red/blue/yellow,Artsy/0003,24,24 SS,1,,1140,아트시,4,6.00 ,여유,🔵,2,2,,아트시,1140.0003,red/blue/yellow,🔵,,1140.0003
02104091,1140.0004,orange/rose,Artsy/0004,16,24 SS,1,,1140,아트시,4,4.00 ,여유,🔵,2,2,,아트시,1140.0004,orange/rose,🔵,,1140.0004
